lambda (nm), E(eV), Cext [nm^2], Csca [nm^2]
400.38,3.0988071332234375,385.15792758458576,7.3867675494731255
400.59,3.097182655583015,384.9184722652273,7.371847625975943
400.79,3.095637116694528,384.69172914291994,7.357680215854913
401.,3.0940159600997506,384.45500993421024,7.342848195210241
401.2,3.0924735792622133,384.2308462821228,7.328763780960754
401.41,3.090855733539274,383.9968079514987,7.314018153671831
401.61,3.0893165010831405,383.77517135717136,7.300015306846708
401.82,3.0877019560997465,383.54375906813254,7.285354582570055
402.02,3.086165862394906,383.3245974908549,7.271431892773677
402.23,3.0845546080600648,383.09575679156217,7.2568545999240035
402.43,3.083021643515642,382.87901855161044,7.243010674442049
402.64,3.081413669779456,382.65269536368817,7.228515359809768
402.84,3.0798838248436105,382.43832913176294,7.214748823250933
403.05,3.0782791216970593,382.21446973931154,7.200334051632162
403.25,3.0767523868567883,382.0024245261629,7.186643545581515
403.46,3.0751509443315324,381.78097556496357,7.1723078994200655
403.66,3.0736273101124705,381.5712007112078,7.158692082103773
403.87,3.0720291182806347,381.3521091581242,7.144434161144968
404.07,3.070508575246863,381.1445543242391,7.130891707106062
404.27,3.068989536695773,380.9380642533813,7.117384563878578
404.48,3.0673961629746835,380.72238264331503,7.10323972784711
404.68,3.0658802016408027,380.5180382678141,7.089804005401629
404.89,3.064290054088765,380.3045835673308,7.075733483929704
405.09,3.062777160630971,380.1023353011733,7.062367896065649
405.3,3.0611902294596596,379.89105559650216,7.048370346695798
405.5,3.059680394574599,379.6908541400213,7.0350736224818915
405.71,3.058096670035247,379.48169781318757,7.021147718642409
405.91,3.056589884457145,379.2834941438275,7.007918602139051
406.12,3.0550093568403427,379.0764098630441,6.99406303285774
406.32,3.053505611340815,378.88015522629604,6.980900282849386
406.53,3.051928270976312,378.6750919365201,6.967113752477378
406.73,3.050427556364172,378.48073783700534,6.954016142214206
406.94,3.048853393620681,378.27764475066584,6.9402973701598505
407.14,3.0473557007417598,378.0851429433792,6.927263687108888
407.34,3.0458594785682727,377.8935272592477,6.914260752275889
407.55,3.04429002576371,377.6932720129636,6.900640453186537
407.75,3.0427968117719186,377.5034372867904,6.887699667350612
407.96,3.0412305127953725,377.3050269960121,6.874144004400058
408.16,3.0397402979223833,377.1169255686578,6.861264189375937
408.37,3.03817714327693,376.92031030837256,6.847771932542321
408.57,3.0366899184962186,376.7338947416944,6.834951923563643
408.78,3.0351298987230293,376.53902481467156,6.821521856804002
408.98,3.0336456550442565,376.3542478834248,6.808760502313833
409.19,3.032088760722403,376.16107381177926,6.795391423348438
409.39,3.030607489191236,375.9778884956602,6.7826875847981976
409.59,3.0291276642496157,375.79546257408896,6.77001139351207
409.8,3.027575402635432,375.604720488393,6.756730856560128
410.,3.026098536585366,375.4238165873972,6.744110510936905
410.21,3.02454937714829,375.2346481639658,6.730888029131099
410.41,3.0230754611242414,375.0552197394452,6.718322422164025
410.62,3.0215293945740584,374.86757620151485,6.705156839663233
410.82,3.020058419745874,374.6895768876089,6.692644876714835
411.03,3.0185154368294285,374.5034096416844,6.6795350505775435
411.23,3.0170473944021596,374.3267932434081,6.667075649213636
411.43,3.0155807792334053,374.1508347244411,6.654641498484636
411.64,3.0140423671168985,373.96677435761666,6.641612539058797
411.84,3.0125786713286717,373.79213032586523,6.629229361708673
412.05,3.0110433199854385,373.60942610562165,6.616253370108766
412.25,3.009582534869618,373.43605076010294,6.603920113390568
412.46,3.00805023517432,373.2546546730518,6.590995990382971
412.66,3.006592352057384,373.08250235897526,6.578711613231296
412.86,3.0051358814125853,372.9109301206331,6.56645070546957
413.07,3.003608105163774,372.73139174361904,6.553601744674182
413.27,3.002154523677015,372.5609748672631,6.541388188909676
413.48,3.000629776530908,372.3826258107314,6.528588414641014
413.68,2.999179075614001,372.1945808186998,6.516089358895836
413.89,2.9976573485708764,371.98260067190205,6.502723234440011
414.09,2.996209519669637,371.7812536295948,6.490017950257173
414.29,2.9947630886577037,371.58045045166654,6.477336704650764
414.5,2.9932458383594693,371.3702119861563,6.464047561045722
414.7,2.991802266698819,371.1705795099173,6.451416428472691
414.91,2.9902880142681543,370.9616095454164,6.438180485849788
415.11,2.9888472934884724,370.7632224788323,6.4256005703987755
415.32,2.9873360300491187,370.555599288633,6.412418977395935
415.52,2.9858981517135157,370.3585320186287,6.399891362924552
415.72,2.9844616568844415,370.16213545180483,6.387389648417184
415.93,2.9829548241290604,369.95666014947494,6.374290997476879
416.13,2.981521159253118,369.76169348399003,6.361843159653705
416.34,2.9800172935581495,369.5577582764069,6.348801624980446
416.54,2.9785864502808854,369.36429515284203,6.336408698552861
416.74,2.9771569803714546,369.1715921028242,6.324042927843849
416.95,2.975657512891234,368.97009099583994,6.311088356883601
417.15,2.9742308522114347,368.7790005399054,6.298779001493802
417.36,2.9727343300747555,368.5792310004075,6.2858841874321945
417.56,2.9713104703515665,368.38982611176573,6.2736322347703295
417.76,2.969887973956338,368.2012698573315,6.26140863618326
417.97,2.9683958178816656,368.00421803835985,6.248604623676344
418.17,2.9669761101944188,367.8174554722475,6.2364398628383215
418.38,2.9654868779578374,367.62232505904564,6.223698126898944
418.58,2.964069950785991,367.4374285713814,6.21159314593837
418.78,2.9626543769998572,367.2534685711717,6.199517662464321
418.99,2.9611694789851786,367.0613372332019,6.186870389970076
419.19,2.9597566735847707,366.87935063067476,6.1748560556259475
419.4,2.958274678111588,366.6893291293879,6.162273463906802
419.6,2.9568646329837938,366.50938782116526,6.1503211777280065
419.8,2.955455931395903,366.3304702549322,6.138399480156783
420.01,2.953978238613366,366.1437272664924,6.125914846320433
420.21,2.9525722852859286,365.9669616492063,6.114056503767863
420.42,2.9510974739546167,365.7825157618894,6.10163884536795
420.62,2.9496942608530263,365.6079735915336,6.08984471611585
420.82,2.9482923815408015,365.4345419341242,6.078082217140417
421.03,2.9468218416739904,365.25365244888604,6.065765852698428
421.23,2.945422690691546,365.08255037356577,6.054068815064977
421.44,2.9439550113895216,364.9041443421892,6.04182161747218
421.64,2.9425585807798122,364.73544304851464,6.030190861189366
421.84,2.9411634743030532,364.5679386767762,6.01859273041012
422.05,2.939700035540813,364.3933657777991,6.00645001412608
422.25,2.9383076376554174,364.2283679564928,5.994919357716651
422.45,2.9369165581725647,364.06461861290006,5.983421901108437
422.66,2.9354573415984477,363.8940439571396,5.971385505406115
422.86,2.93406895899352,363.732906790196,5.959956685170791
423.07,2.932612570023873,363.5651121693405,5.9479927606364065
423.27,2.931226876461833,363.40665812328683,5.936633341092936
423.47,2.9298424917939876,363.24953865442285,5.9253080490016545
423.68,2.928390294561933,363.0860180163536,5.913453415998033
423.88,2.9270085873360383,362.93168718994747,5.902198638022063
424.08,2.92562818336163,362.77874241532754,5.8909785239345505
424.29,2.924180159796366,362.6196606111714,5.87923490048945
424.49,2.922802421729605,362.4696100209704,5.86808638691187
424.7,2.921357193312927,362.31360436954753,5.856418321258514
424.9,2.919982113438456,362.1665189454235,5.845342123980304
425.1,2.918608327452364,362.02090571830985,5.834301459354239
425.31,2.9171672427170767,361.86961478737555,5.822747185631234
425.51,2.9157961034993307,361.72707244725,5.811779882001864
425.71,2.9144262526132816,361.5860539186512,5.80084861496402
425.92,2.912989293764087,361.4396430077332,5.789409747133302
426.12,2.9116220782878064,361.3018012838666,5.778552863001339
426.32,2.9102561456183147,361.16553509891713,5.767732508684158
426.53,2.9088232949616675,361.02416986914136,5.756410626391162
426.73,2.9074599864082673,360.8911866731887,5.745665655750346
426.93,2.9060979551682946,360.75983089091517,5.734957698244198
427.14,2.904669195111673,360.6236774754917,5.7237543494208
427.34,2.9033097767585527,360.4957112047733,5.713122756905679
427.55,2.9018837562858146,360.3631544584358,5.701999933317721
427.75,2.9005269433080065,360.238649523419,5.69144535529037
427.95,2.899171398527865,360.11585917038514,5.680928578721682
428.16,2.897749439461883,359.9887934023416,5.669926813382433
428.36,2.8963964889345406,359.8695716395152,5.659488003934571
428.56,2.8950448011946985,359.7521169044992,5.649087456914317
428.77,2.8936268862093892,359.63071007715,5.638208226182076
428.97,2.892277781663053,359.51693172770763,5.627886584120996
429.17,2.89092993452478,359.40497313510116,5.617603658677858
429.38,2.889516046392473,359.28939411793215,5.606848417204377
429.58,2.888170771451185,359.18122032719157,5.596645321570645
429.78,2.8868267485690353,359.07491934516116,5.586481390856234
429.99,2.885416870159771,358.96533804172833,5.57585157443607
430.19,2.8840754085404123,358.86293098130704,5.5657683872346455
430.39,2.882735193661563,358.76245014519236,5.55572480827191
430.6,2.8813293079424054,358.6590376240233,5.545221836746824
430.8,2.8799916434540385,358.56287090519675,5.535264864279622
431.,2.878655220417633,358.5181069131646,5.5261367463734405
431.21,2.877253310451984,358.4734171705145,5.516595950839994
431.41,2.8759194269952015,358.4330423971599,5.507550738152415
431.61,2.874586779731702,358.394786152299,5.498545403439401
431.82,2.8731888286786162,358.3568810503737,5.489132319617889
432.02,2.871858710244896,358.32292180587734,5.4802075912217285
432.22,2.8705298227754383,358.2910363220783,5.471321629617531
432.43,2.8691358138889536,358.25977248768436,5.462032698806666
432.63,2.8678094445600166,358.23209265409616,5.453225085913693
432.83,2.866484300995772,358.20644221902535,5.4444551482034385
433.04,2.8650942176242378,358.1816775780222,5.435286874391472
433.24,2.8637715815714153,358.16014223820525,5.42659306676916
433.44,2.862450166112957,358.1405923050341,5.417935861188995
433.65,2.861063991698374,358.1221859692645,5.408884807515669
433.85,2.859745073181975,358.10666129977517,5.400301550165781
434.05,2.85842737011865,358.0930783806089,5.3917538391277615
434.25,2.8571108808290155,358.0814229654606,5.383241331877978
434.46,2.855729871564701,358.07124370216354,5.374340714471161
434.66,2.854415865274007,358.0634952630477,5.365899311425619
434.86,2.8531030676539575,358.05763106432414,5.357492077996743
435.07,2.851725929160825,358.05348611180716,5.348700890609319
435.27,2.8504156041077953,358.0514404691997,5.340362657039005
435.47,2.8491064826509285,358.05123605987944,5.332057574029338
435.68,2.8477331986779286,358.05298768388167,5.323372553023822
435.88,2.8464265394145176,358.0565139024841,5.315134395564734
436.08,2.8451210787011556,358.0618385705672,5.306928383808565
436.29,2.8437516330880834,358.06934975199306,5.298346311022229
436.49,2.84244862425256,358.0783175438306,5.290205178706194
436.69,2.8411468089491403,358.08904119181216,5.282095200555384
436.89,2.839846185538694,358.10150676687323,5.274016054231907
437.1,2.838481811942347,358.1164551462422,5.265565782102066
437.3,2.8371836268008233,358.1324481917019,5.257548838823577
437.5,2.8358866285714286,358.15014077368187,5.24956175222868
437.71,2.834526056064518,358.17053193266696,5.241207097504418
437.91,2.8332314859217647,358.19166520988824,5.233280226789891
438.11,2.831938097738011,358.21445574844046,5.2253822490339505
438.32,2.830581310458113,358.24015429691354,5.217120125294555
438.52,2.829290340235337,358.26629895943563,5.209280398878014
438.72,2.8280005470459515,358.29405869170347,5.201468612355718
438.92,2.8267119292809624,358.323419673281,5.1936844554449175
439.13,2.8253601439209346,358.35595693132746,5.1855404887057714
439.33,2.8240739307582,358.38855728560225,5.17781200685238
439.53,2.8227888881305034,358.42271675997046,5.170110214588054
439.74,2.821440851412198,358.4602471013924,5.1620517223456
439.94,2.8201582033913715,358.4975596015068,5.154403687493965
440.14,2.818876721043304,358.5363891031231,5.146781411233706
440.34,2.81759640277967,358.57672179393717,5.139184590173595
440.55,2.8162533197139936,358.62067380977084,5.131234993225118
440.75,2.8149753828701076,358.66404484268264,5.123689410529516
440.95,2.813698605284046,358.7088769124265,5.116168363021311
441.15,2.8124229853791225,358.75515618671574,5.1086715507315414
441.36,2.811084828711256,358.80529183498396,5.100825653635671
441.56,2.80981157713561,358.8544946018351,5.093377589084398
441.76,2.808539478449837,358.90510233283106,5.085952849650145
441.97,2.8072050139149716,358.9597373664896,5.078181652060895
442.17,2.805935273763485,359.0131818996975,5.070803801750805
442.37,2.8046666817370074,359.06798905474557,5.063448373254154
442.57,2.803399236279007,359.1241449215758,5.056115071793533
442.78,2.8020696508424043,359.1845448956329,5.0484385976651325
442.98,2.8008045509955304,359.2434220695458,5.0411497378211925
443.18,2.7995405929870483,359.30360543055417,5.033882109906406
443.38,2.7982777752717762,359.36508100002794,5.026635421682511
443.59,2.7969530422236755,359.4310057703375,5.019048616272085
443.79,2.7956925572906104,359.495086582455,5.011843943247065
443.99,2.7944332079551337,359.56041684249095,5.004659322117405
444.19,2.793174992683311,359.6269824857409,4.9974944629045295
444.4,2.791855085508551,359.69819057637767,4.989992312776052
444.6,2.790599190283401,359.76724468321476,4.9828670611136445
444.8,2.7893444244604315,359.83749112356537,4.975760690064252
445.,2.7880907865168543,359.9089157292014,4.968672911650918
445.21,2.786775678893107,359.9851640315096,4.961250440046755
445.41,2.7855243483532024,360.0589594621867,4.954199878162182
445.61,2.7842741410650564,360.1338896661439,4.9471670333468305
445.81,2.7830250555169243,360.2099403542218,4.940151619388409
446.02,2.7817147213129454,360.29098382665796,4.932803881966722
446.22,2.780467930617184,360.3692866972037,4.92582330817472
446.42,2.7792222570673353,360.4486662645085,4.918859294718959
446.62,2.7779776991625993,360.52910810110217,4.911911556935786
446.83,2.776672112436497,360.6146994696802,4.904633637869981
447.03,2.7754298369236965,360.6972736978478,4.897718376756603
447.23,2.774188672495136,360.780865959618,4.890818525214184
447.43,2.772948617660863,360.86546167185077,4.883933799932495
447.64,2.7716477526583865,360.9553511310133,4.87672080836976
447.84,2.7704099678456595,361.04195815149313,4.869866207506115
448.04,2.769173288099277,361.12952388550997,4.863025870656851
448.24,2.767937711940032,361.2180335769142,4.856199515690704
448.45,2.766641543092876,361.3119684907388,4.8490465825687625
448.65,2.765408224674022,361.40236697065285,4.84224800956542
448.85,2.7641760053469975,361.49366411692307,4.835462559553811
449.05,2.7629448836432466,361.5858449830623,4.828689951427968
449.26,2.7616533855673775,361.68356958672774,4.821592226649601
449.46,2.7604245094112936,361.77751514138004,4.814845066552259
449.66,2.7591967264155137,361.8722985179402,4.80810989236742
449.86,2.757970035122038,361.9679045622752,4.80138642388173
450.06,2.7567444340754563,362.0643180663175,4.7946743810841514
450.27,2.7554587247651408,362.16640457266675,4.787638726875957
450.47,2.7542353541856284,362.26442559165724,4.780949232174556
450.67,2.7530130694299597,362.3632073416939,4.774270310311878
450.87,2.751791869053164,362.4627343855089,4.767601682033525
451.08,2.750510774142059,362.5680229470265,4.760610395446164
451.28,2.7492917922354194,362.6271053785976,4.753073417177405
451.48,2.748073890316293,362.6565664807691,4.744906938433704
451.68,2.746857066950053,362.6866223069973,4.736752434309429
451.88,2.7456413207046118,362.71729699368984,4.728610487479334
452.09,2.744365944833993,362.75019798942697,4.720075593349185
452.29,2.7431524022198146,362.7822172420941,4.711961201810574
452.49,2.741939932374196,362.8149296287438,4.703861131972227
452.69,2.7407285338752794,362.84835972396445,4.695775958215671
452.89,2.739518205303716,362.8825322157012,4.6877062529282645
453.1,2.738248510262635,362.91923947734614,4.6792503344322025
453.3,2.7370403706154867,362.95501155171314,4.67121412064118
453.5,2.7358332965821393,362.9916020416941,4.663195109031396
453.7,2.734627286753361,363.02903611462546,4.655193864162339
453.9,2.733422339722406,363.06733906112066,4.647210948727348
454.11,2.7321582876395585,363.10852009149477,4.638849228230522
454.31,2.730955514956748,363.14868382399686,4.630905639532483
454.51,2.729753800796462,363.1897943475444,4.622982085259188
454.71,2.728553143761958,363.23187747132806,4.615079120848248
454.91,2.727353542458948,363.27495913726136,4.607197300025695
455.12,2.7260950957989105,363.321298101867,4.598944747970678
455.32,2.7248976543969077,363.3665084499189,4.591107995547607
455.52,2.723701264488936,363.41279730149097,4.583294065362593
455.72,2.7225059246905996,363.46019115444625,4.575503504565891
455.92,2.721311633619933,363.5087166483944,4.567736858777493
456.13,2.720058755179444,363.5609156533687,4.55960821458636
456.33,2.7188666096903558,363.61184490092427,4.551892294060683
456.53,2.71767550872889,363.66398793377573,4.544201943645418
456.73,2.716485450922865,363.7173719832766,4.536537703174246
456.93,2.7152964349025015,363.77202443119234,4.5289001111592455
457.14,2.714049087806799,363.8308047445894,4.520909907763326
457.34,2.7128622031748812,363.88814365520983,4.513328623267789
457.54,2.711676356165581,363.9468354249729,4.505775621997099
457.74,2.710491545418796,364.00690806184474,4.498251437578326
457.94,2.7093077695768004,364.06838973256407,4.490756602553549
458.14,2.708125027284236,364.131308764273,4.483291648430059
458.35,2.706884258754227,364.1989518820462,4.475486186400142
458.55,2.705703631010795,364.26490674707514,4.468084145656786
458.75,2.704524032697548,364.3323863783205,4.4607136010611885
458.95,2.7033454624686786,364.40141976900395,4.453375080467166
459.15,2.7021679189807255,364.47203608083987,4.446069110965025
459.36,2.7009326018808775,364.547918923976,4.438433452054297
459.56,2.6997571590216727,364.62187211050644,4.43119585719073
459.76,2.6985827388202543,364.69749821846904,4.423992416930562
459.96,2.697409339942604,364.7748271080769,4.4168236558698455
460.16,2.6962369610570236,364.85388881596833,4.409690098142586
460.36,2.6950656008341296,364.934713556757,4.4025922674840725
460.57,2.69383676748377,365.021510258111,4.395178569245587
460.77,2.692667491373136,365.10604443420317,4.3881556150684835
460.97,2.691499229884808,365.19243491314705,4.381169983568865
461.17,2.6903319816987223,365.2807126462263,4.3742221975412425
461.37,2.6891657454971067,365.3709087705274,4.367312779720839
461.57,2.6880005199644694,365.46305461047325,4.360442252854549
461.77,2.6868363037876004,365.55718167937056,4.353611139773499
461.98,2.6856149616866527,365.65818209181845,4.346481462375825
462.18,2.6844528105932755,365.75647000392064,4.3397327828051315
462.38,2.683291664864397,365.856836443171,4.333025112948711
462.58,2.6821315231959875,365.95931370361524,4.326358976747213
462.78,2.68097238428627,366.06393427596964,4.319734898612039
462.98,2.679814246835716,366.17073084916456,4.313153403506149
463.19,2.678599278913621,366.28524516107024,4.306289238741221
463.39,2.677443190401174,366.39660557455795,4.2997966827783936
463.59,2.6762880993981755,366.5102429304436,4.29334831525111
463.79,2.675134004614157,366.6261907362676,4.286944664212238
463.99,2.673980904760878,366.7444827056199,4.280586258696611
464.19,2.6728287985523167,366.8651527596974,4.2742736288107475
464.39,2.6716776847046666,366.9882350288672,4.2680073058242245
464.6,2.670470081790788,367.12010513649636,4.261478087189879
464.8,2.6693209982788293,367.2482400378069,4.255308359634246
465.,2.6681729032258064,367.37889256002194,4.249186567508474
465.2,2.6670257953568357,367.51209769670095,4.243113247759817
465.4,2.6658796733992265,367.64789065852045,4.2370889389846225
465.6,2.6647345360824737,367.78630687485986,4.231114181529628
465.8,2.6635903821382563,367.9273819953909,4.225189517594976
466.01,2.6623900774661484,368.0784117708439,4.21902312905407
466.21,2.66124793547972,368.22505003297147,4.2132028602718545
466.41,2.6601067730108703,368.3744573079499,4.207434351266517
466.61,2.6589665888000686,368.52667015396815,4.201718152834827
466.81,2.6578273815899403,368.68172535759624,4.196054818174732
467.01,2.656689150125265,368.8396599353968,4.190444902999418
467.21,2.655551893152972,369.0005111355408,4.184888965653415
467.41,2.6544156094221343,369.16431643943076,4.179387567230594
467.62,2.653223557589496,369.3395326345587,4.173670413524879
467.82,2.6520892651019623,369.5095120203477,4.168282586259687
468.02,2.6509559420537587,369.682561285539,4.162951027493601
468.22,2.649823587202597,369.8587188727415,4.15767631070429
468.42,2.6486921993083126,370.03802346601714,4.152459012746228
468.62,2.6475617771328577,370.2205139925135,4.147299713981402
468.82,2.6464323194402968,370.4062296240948,4.142198998412246
469.02,2.6453038249968017,370.59520977897967,4.137157453816917
469.22,2.644176292570649,370.78749412337,4.1321756718868
469.43,2.6429934175489422,370.9929924977618,4.127009772341912
469.63,2.6418678534165196,371.1921754924079,4.122152370914585
469.83,2.640743247557628,371.39478520705586,4.117356562447985
470.03,2.6396195987490163,371.6008623289109,4.1126229559382
470.23,2.638496905769517,371.81044780137836,4.1079521650262345
470.43,2.6373751674000383,372.02358282566854,4.103344808150491
470.63,2.63625438242356,372.2403088624129,4.0988015087020315
470.83,2.6351345496251297,372.46066763325274,4.0943228951824056
471.03,2.634015667791861,372.68470112243284,4.089909601364334
471.24,2.632841864018334,372.9239374330158,4.085346642672988
471.44,2.6317249278805366,373.1556364647349,4.081069258695853
471.64,2.6306089390212875,373.3911399049866,4.076859161697869
471.84,2.629493896236012,373.6829356784079,4.073190753626111
472.04,2.6283797983221757,374.04221103647285,4.070164924033339
472.24,2.6272666440792816,374.406089755359,4.067213870872794
472.44,2.6261544323088644,374.7745682731785,4.06433791786262
472.64,2.6250431618144887,375.14764301068686,4.061537394812701
472.84,2.623932831401743,375.5253103635709,4.058812637641798
473.04,2.6228234398782346,375.90756669457494,4.0561639883947125
473.25,2.621659587955626,376.3138707045036,4.053465198905732
473.45,2.6205521174358433,376.7055228876523,4.050973666167362
473.65,2.6194455821809353,377.10175266739566,4.048559322606502
473.85,2.618339981006647,377.5025561891275,4.046222535256815
474.05,2.617235312730725,377.907929522951,4.043963677366219
474.25,2.6161315761729047,378.3178686547527,4.0417831284145125
474.45,2.615028770154916,378.7323694770669,4.039681274130722
474.65,2.613926893500474,379.151427779747,4.037658506510474
474.85,2.612825945035274,379.57503924043294,4.035715223833271
475.05,2.611725923586991,380.0031994147939,4.033851830679423
475.25,2.610626827985271,380.43590372657223,4.032068737947003
475.45,2.6095286570617313,380.87314745738223,4.030366362868402
475.66,2.6083765715006515,381.3371335925485,4.028666204977076
475.86,2.607280292523011,381.7836677258951,4.027130632281741
476.06,2.6061849346721,382.23472589976893,4.025677089089262
476.26,2.605090496787469,382.69030271108807,4.024306018449338
476.46,2.603996977710616,383.15039255951064,4.023017869824649
476.66,2.602904376284983,383.6149896357414,4.021813099105104
476.86,2.6018126913559536,384.08408790956594,4.0206921686214905
477.06,2.6007219217708464,384.5576811176047,4.0196555471585755
477.26,2.5996320663789128,385.0357627507798,4.018703709967501
477.46,2.598543124031333,385.51832604148325,4.017837138777466
477.66,2.5974550935812086,386.0053639504445,4.017056321806657
477.86,2.596367973883564,386.49686915328795,4.016361753772385
478.06,2.5952817637953394,386.9928340267615,4.015753935900179
