lambda (nm), E(eV), Qext
250.,4.962800796,2.881281356758077
251.,4.9430286812749005,2.8823386795040804
252.,4.923413488095238,2.8832218374489846
253.,4.903953355731225,2.8837598978671943
254.,4.884646452755906,2.883775387451006
255.,4.865490976470588,2.883085161445102
256.,4.84648515234375,2.8806460149564606
257.,4.827627233463035,2.876856019930363
258.,4.8089154999999995,2.8720627258754376
259.,4.790348258687259,2.8662826785171247
260.,4.771923842307693,2.859542239383199
261.,4.753640609195402,2.8518769478622477
262.,4.7354969427480915,2.843445556334584
263.,4.71749125095057,2.834545424072246
264.,4.699621965909092,2.824847543341058
265.,4.681887543396226,2.814343909321578
266.,4.664286462406015,2.803024993957546
267.,4.6468172247191015,2.7908800930223157
268.,4.629478354477612,2.7778976795747905
269.,4.612268397769516,2.764065763219073
270.,4.595185922222222,2.7484110012722196
271.,4.578229516605166,2.731842454252408
272.,4.561397790441177,2.7146312449801826
273.,4.544689373626373,2.6969013733867344
274.,4.528102916058394,2.6787769927086083
275.,4.511637087272727,2.660381542611107
276.,4.495290576086957,2.6418370554723407
277.,4.479062090252707,2.6237470478913236
278.,4.462950356115108,2.6059602286316044
279.,4.44695411827957,2.588288480143742
280.,4.431072139285714,2.570768739989279
281.,4.415303199288256,2.5534347920952922
282.,4.39964609574468,2.5363176052719907
283.,4.384099643109541,2.519445637700939
284.,4.368662672535211,2.502845109073854
285.,4.353334031578948,2.486969463986294
286.,4.338112583916084,2.471918277143994
287.,4.322997209059234,2.4570661702283845
288.,4.307986802083334,2.4423460599293207
289.,4.293080273356401,2.4276904995395903
290.,4.278276548275862,2.413031748185075
291.,4.263574567010309,2.3983018924703603
292.,4.248973284246575,2.383433021692777
293.,4.234471668941979,2.3675961604526976
294.,4.2200687040816325,2.3503158909090347
295.,4.205763386440678,2.3329235817015324
296.,4.1915547263513515,2.315525602337991
297.,4.177441747474747,2.2982258697959908
298.,4.163423486577181,2.281125752038799
299.,4.149498993311036,2.2643240978930517
300.,4.13566733,2.2479173874228895
301.,4.1219275714285715,2.231999997230385
302.,4.108278804635762,2.2187005600770684
303.,4.094720128712871,2.2063223189412415
304.,4.081250654605263,2.194459837964697
305.,4.067869504918033,2.183040887736405
306.,4.05457581372549,2.171993660216859
307.,4.041368726384365,2.1612465289133977
308.,4.02824739935065,2.150727870050375
309.,4.015211,2.1403659443436913
310.,4.002258706451613,2.13008883940056
311.,3.9893897073954987,2.1197131516514243
312.,3.976603201923077,2.1070844803852133
313.,3.9638983993610224,2.09449358195997
314.,3.9512745191082805,2.0820170520697086
315.,3.9387307904761903,2.06973071085679
316.,3.9262664525316455,2.057709635120911
317.,3.9138807539432174,2.0460282648426125
318.,3.901572952830189,2.0347605830329845
319.,3.88934231661442,2.023980368334004
320.,3.877188121875,2.013761520440292
321.,3.8651096542056074,2.0055370502672774
322.,3.8531062080745335,2.000014516089154
323.,3.8411770866873067,1.9951359301812241
324.,3.8293216018518517,1.9907975666576605
325.,3.817539073846154,1.9868938769866042
326.,3.8058288312883435,1.9833169612350852
327.,3.7941902110091745,1.9799561724789567
328.,3.7826225579268296,1.9766978606079741
329.,3.771125224924012,1.9734252634578773
330.,3.759697572727273,1.9700185543344468
331.,3.7483389697885197,1.966355055467352
332.,3.7370487921686752,1.9614855097871533
333.,3.7258264234234235,1.9538296410874272
334.,3.714671254491018,1.9457290559114366
335.,3.7035826835820895,1.9372183317110505
336.,3.6925601160714283,1.9283327843670452
337.,3.6816029643916917,1.9191082823596124
338.,3.670710647928994,1.909581072545453
339.,3.6598825929203542,1.8997876184365863
340.,3.6491182323529414,1.8897644516849197
341.,3.6384170058651026,1.8795480372925706
342.,3.6277783596491227,1.86917465289395
343.,3.617201746355685,1.8586563423250715
344.,3.6066866250000005,1.8479878772485097
345.,3.5962324608695653,1.8372747834312406
346.,3.585838725433526,1.8265556868179789
347.,3.575504896253602,1.8158684954330315
348.,3.565230456896552,1.8052503553588215
349.,3.555014896848138,1.7947376185712638
350.,3.5448577114285715,1.7843658220619172
351.,3.534758401709402,1.774169677617939
352.,3.524716474431818,1.7641830715782345
353.,3.514731441926346,1.75443907383694
354.,3.5048028220338985,1.7449699553217264
355.,3.4949301380281694,1.7366005106529612
356.,3.485112918539326,1.7293046360499391
357.,3.4753506974789916,1.722311638280124
358.,3.465643013966481,1.7155955458680079
359.,3.455989412256267,1.7091307979777535
360.,3.4463894416666667,1.7028922351472366
361.,3.4368426565096954,1.6968550936905582
362.,3.4273486160220994,1.6909950036605268
363.,3.4179068842975204,1.685287990226378
364.,3.4085170302197807,1.6797104782859718
365.,3.3991786273972604,1.6742393000959255
366.,3.389891254098361,1.6688517056677332
367.,3.3806544931880107,1.6635253756432389
368.,3.371467932065217,1.6582384363293863
369.,3.3623311626016257,1.6527201226943231
370.,3.3532437810810816,1.647160695913541
371.,3.344205388140162,1.6415972353763746
372.,3.3352155887096777,1.6360193397692027
373.,3.326273991957105,1.6304170405870375
374.,3.3173802112299464,1.6247808069256573
375.,3.308533864,1.6191015482376692
376.,3.2997345718085107,1.6133706148987068
377.,3.2909819602122017,1.607579796441322
378.,3.2822756587301587,1.6017213173284202
379.,3.273615300791557,1.5957878301551685
380.,3.2650005236842103,1.5897724061883032
381.,3.256430968503937,1.583668523174099
382.,3.2479062801047127,1.5772646007062345
383.,3.2394261070496086,1.5701347779530939
384.,3.2309901015625,1.5629224061334435
385.,3.2225979194805197,1.555644574156656
386.,3.214249220207254,1.5483179709255432
387.,3.2059436666666667,1.5409588836645858
388.,3.197680925257732,1.5335831992137252
389.,3.1894606658097686,1.526206408036141
390.,3.181282561538462,1.5188436107021497
391.,3.173146289002558,1.511509526626386
392.,3.165051528061224,1.5042185048512788
393.,3.156997961832061,1.4969845366862102
394.,3.148985276649746,1.4898212700283529
395.,3.1410131620253168,1.482742025207823
396.,3.133081310606061,1.4757598122160571
397.,3.1251894181360202,1.468887349192482
398.,3.1173371834170855,1.462392447578621
399.,3.1095243082706765,1.4565172669893551
400.,3.1017504975,1.4507584750763425
401.,3.0940154588528674,1.445110867824884
402.,3.0863189029850746,1.4395693190353256
403.,3.0786605434243177,1.4341287750949057
404.,3.0710400965346536,1.4287842500173453
405.,3.0634572814814818,1.4235308207384394
406.,3.0559118201970445,1.4183636226568972
407.,3.0484034373464377,1.4132778454106951
408.,3.0409318602941178,1.4082687288801283
409.,3.0334968190709044,1.403331559409624
410.,3.0260980463414637,1.398461666241266
411.,3.018735277372263,1.393654418153847
412.,3.0114082499999997,1.3889052203020278
413.,3.0041167046004844,1.384209511251059
414.,2.996860384057971,1.3793185332752258
415.,2.9896390337349397,1.3741561203874493
416.,2.982452401442308,1.3690485209785215
417.,2.975300237410072,1.3640033276103984
418.,2.9681822942583733,1.3590280413980462
419.,2.961098326968974,1.3541300785430987
420.,2.954048092857143,1.3493167775974604
421.,2.947031351543943,1.344595407439592
422.,2.9400478649289106,1.339973175949933
423.,2.9330973971631207,1.335457239375833
424.,2.9261797146226414,1.3310547123793437
425.,2.9192945858823527,1.3267726787732887
426.,2.9124417816901413,1.3226182029323297
427.,2.905621074941452,1.3185983419094087
428.,2.8988322406542055,1.314720158253908
429.,2.892075055944056,1.3109907335567634
430.,2.8853493,1.3074171827454404
431.,2.878654754060325,1.3041765319828567
432.,2.8719912013888886,1.3017851177006974
433.,2.8653584272517323,1.299569611185243
434.,2.858756218894009,1.2975235935522684
435.,2.8521843655172416,1.2956407211071859
436.,2.845642658256881,1.2939147117907492
437.,2.839130890160183,1.2923393320519796
438.,2.832648856164383,1.290908384113078
439.,2.826196353075171,1.28961569359448
440.,2.819773179545454,1.2884550974714728
441.,2.813379136054422,1.287420432337017
442.,2.8070140248868785,1.2865055229485791
443.,2.800677650112867,1.2857041710399628
444.,2.7943698175675675,1.285010144382311
445.,2.788090334831461,1.284417166081686
446.,2.7818390112107623,1.2839189041040058
447.,2.7756156577181206,1.2835089610214798
448.,2.7694200870535712,1.2831808639782845
449.,2.7632521135857457,1.2829280548769442
450.,2.757111553333333,1.2827438807907248
451.,2.750998223946785,1.282621584611473
452.,2.7449119446902652,1.2814248368012704
453.,2.7388525364238414,1.2800607046564252
454.,2.7328198215859034,1.2787617160119575
455.,2.7268136241758243,1.2775399986814986
456.,2.720833769736842,1.276407876312205
457.,2.7148800853391686,1.2753778878539372
458.,2.708952399563319,1.2744628072974886
459.,2.7030505424836604,1.2736756638099198
460.,2.697174345652174,1.2730297624059501
461.,2.6913236420824296,1.2725387053036554
462.,2.6854982662337665,1.2722164141202077
463.,2.6796980539956805,1.2720771530695534
464.,2.6739228426724138,1.2721355533282563
465.,2.668172470967742,1.2724066387386712
466.,2.662446778969957,1.2729058530197142
467.,2.656745608137045,1.273649088654813
468.,2.651068801282052,1.2746527176238562
469.,2.6454162025586356,1.2759336241406174
470.,2.6397876574468087,1.2775092395489187
471.,2.6341830127388532,1.2793975795187322
472.,2.6286021165254234,1.282068637985226
473.,2.623044818181818,1.2864679500605152
474.,2.61751096835443,1.2912718910577192
475.,2.6120004189473685,1.2964824550564507
476.,2.606513023109244,1.3021017614757995
477.,2.601048635220126,1.30813198932205
478.,2.595607110878661,1.3145753027174623
479.,2.590188306889353,1.3214337662025075
480.,2.5847920812500003,1.3287092480972795
481.,2.5794182931392933,1.336403309972748
482.,2.5740668029045644,1.3445170800162853
483.,2.5687374720496896,1.353051107775947
484.,2.5634301632231407,1.3620051974319454
485.,2.5581447402061857,1.3713782163699118
486.,2.552881067901235,1.381167875418271
487.,2.547639012320329,1.3913704766618096
488.,2.5424184405737704,1.4019806242587314
489.,2.537219220858896,1.4129908931748503
490.,2.53204122244898,1.4243914502172736
491.,2.5268843156822807,1.4361696212172261
492.,2.5217483719512197,1.4483093977034047
493.,2.5166332636916837,1.46079087595874
494.,2.5115388643724694,1.4735896210164139
495.,2.506465048484848,1.4866759479936675
496.,2.501411691532258,1.5000141132784879
497.,2.496378670020121,1.5144136768927479
498.,2.4913658614457828,1.5291773498238905
499.,2.4863731442885775,1.543858468248012
500.,2.481400398,1.5583488461663024
501.,2.4764475029940116,1.5725299397877883
502.,2.4715143406374502,1.5862726806381808
503.,2.4666007932405565,1.5994375151791222
504.,2.461706744047619,1.6118747028724671
505.,2.4568320772277232,1.6234249278923076
506.,2.4519766778656127,1.633920280676965
507.,2.447140431952663,1.6431856632961162
508.,2.442323226377953,1.6510406661952675
509.,2.4375249489194495,1.6573019523097867
510.,2.432745488235294,1.6617861670159984
511.,2.4279847338551854,1.6643133684436684
512.,2.423242576171875,1.6647109423812998
513.,2.4185189064327486,1.6628179301651882
514.,2.4138136167315176,1.6584896582596915
515.,2.4091265999999996,1.6516025174037465
516.,2.4044577499999997,1.6420587008560066
517.,2.3998069613152806,1.6297906797812391
518.,2.3951741293436295,1.6147651738508897
519.,2.3905591502890173,1.5969863710483043
520.,2.3859619211538465,1.5764981658208899
521.,2.3813823397312857,1.553385220705223
522.,2.376820304597701,1.5272983879537791
523.,2.3722757151051623,1.4993359846862948
524.,2.3677484713740458,1.4700095465452006
525.,2.363238474285714,1.4395104463034245
526.,2.358745625475285,1.4080305109407705
527.,2.354269827324478,1.375759099666764
528.,2.349810982954546,1.3428804707918436
529.,2.3453689962192814,1.3095714905460676
530.,2.340943771698113,1.2759997171660429
531.,2.3365352146892655,1.2423218746940192
532.,2.3321432312030077,1.2086827139956495
533.,2.327767727954972,1.1752142442248268
534.,2.3234086123595508,1.1420353067427196
535.,2.3190657925233644,1.109251455439247
536.,2.314739177238806,1.0769551023755015
537.,2.3104286759776533,1.045225885354096
538.,2.306134198884758,1.0141312140090353
539.,2.3018556567718,0.9837269528118745
540.,2.297592961111111,0.954058202535941
541.,2.293346024029575,0.9251601457565884
542.,2.289114758302583,0.8970589264987122
543.,2.2848990773480664,0.8697725388472193
544.,2.2806988952205884,0.8433117039573648
545.,2.276514126605505,0.8176807192546232
546.,2.2723446868131867,0.792878267574003
547.,2.268190491773309,0.7688981774851426
548.,2.264051458029197,0.7457301290523067
549.,2.2599275027322405,0.7233641026142958
550.,2.2558185436363636,0.7019370892036384
551.,2.2517244990925587,0.6811711031309196
552.,2.2476452880434783,0.6610542011867848
553.,2.2435808300180833,0.6415734615443952
554.,2.2395310451263537,0.6227151583845388
555.,2.2354958540540544,0.6044649194879071
556.,2.231475178057554,0.5868078677810273
557.,2.2274689389587077,0.5697287478650892
558.,2.223477059139785,0.5532120385745118
559.,2.2194994615384616,0.5372420526095241
560.,2.215536069642857,0.5218030242683023
561.,2.211586807486631,0.5068791862732784
562.,2.207651599644128,0.4924548366460902
563.,2.2037303712255776,0.4785143965389279
564.,2.19982304787234,0.46504245987894877
565.,2.1959295557522123,0.4520238356289149
566.,2.1920498215547704,0.43944358341233086
567.,2.1881837724867723,0.42728704319682653
568.,2.1843313362676056,0.4155398596756489
569.,2.1804924411247804,0.40418800193504273
570.,2.176667015789474,0.3932177789452328
571.,2.172854989492119,0.3826158513651553
572.,2.169056291958042,0.372369240106172
573.,2.1652708534031415,0.36246533205795667
574.,2.161498604529617,0.3528918833404982
575.,2.1577394765217393,0.34363702040986727
576.,2.153993401041667,0.33468923931182176
577.,2.150260310225303,0.32603740334652476
578.,2.1465401366782006,0.317670739379431
579.,2.1428328134715025,0.3095788330076517
580.,2.139138274137931,0.30175162276768336
581.,2.1354564526678144,0.29417939354913186
582.,2.1317872835051546,0.2868527693598656
583.,2.1281307015437396,0.2796979916500457
584.,2.1244866421232875,0.27271593741932715
585.,2.1208550410256413,0.2659621899678701
586.,2.1172358344709896,0.25942868768714417
587.,2.11362895911414,0.25310761848395813
588.,2.1100343520408162,0.2469914169664998
589.,2.1064519507640065,0.2410727610150307
590.,2.102881693220339,0.2353445678302974
591.,2.0993235177664973,0.22979998954322647
592.,2.0957773631756758,0.22443240846076712
593.,2.092243168634064,0.21923543201478543
594.,2.0887208737373735,0.21420288747357472
595.,2.085210418487395,0.2093288164689263
596.,2.0817117432885905,0.20460746938563187
597.,2.078224788944724,0.20003329965477337
598.,2.074749496655518,0.19560095798718355
599.,2.071285808013356,0.19130528657895216
600.,2.067833665,0.1871413133167522
601.,2.064393009983361,0.1831042460071291
602.,2.0609637857142857,0.17918946665056523
603.,2.0575459353233834,0.1753925257781933
604.,2.054139402317881,0.17170913686636188
605.,2.0507441305785123,0.16813517084191293
606.,2.0473600643564356,0.16466665068888747
607.,2.0439871482701815,0.16129974616552248
608.,2.0406253273026316,0.15803076863872145
609.,2.0372745467980296,0.15485616604170316
610.,2.0339347524590163,0.1517725179592298
611.,2.0306058903436988,0.14877653084367398
612.,2.027287906862745,0.14586503336416037
613.,2.023980748776509,0.14303497189015477
614.,2.0206843631921827,0.14028340611008225
615.,2.0173986975609757,0.137607504784914
616.,2.014123699675325,0.13500454163606082
617.,2.0108593176661262,0.1324718913664362
618.,2.0076055,0.12994310833356953
619.,2.0043621954765753,0.127457106243055
620.,2.0011293532258065,0.12503483732519313
621.,1.997906922705314,0.1226744110074784
622.,1.9946948536977493,0.12037400796920399
623.,1.9914930963081863,0.11813187697942522
624.,1.9883016009615384,0.11594633189361124
625.,1.9851203184000001,0.11381574880012345
626.,1.9819491996805112,0.1117385633082071
627.,1.9787881961722489,0.10971326796968552
628.,1.9756372595541403,0.10773840982701553
629.,1.9724963418124006,0.10581258808079974
630.,1.9693653952380952,0.10393445187027348
631.,1.9662443724247227,0.10210269816065672
632.,1.9631332262658228,0.10031606973163305
633.,1.9600319099526067,0.09857335326155145
634.,1.9569403769716087,0.09687337750225847
635.,1.953858581102362,0.09521501153977854
636.,1.9507864764150944,0.09359716313631998
637.,1.947724017268446,0.09201877714935813
638.,1.94467115830721,0.0904788340237895
639.,1.941627854460094,0.08897634835337273
640.,1.9385940609375,0.0875103675078933
641.,1.9355697332293293,0.08607997032269174
642.,1.9325548271028037,0.08468426584737844
643.,1.929549298600311,0.0833223921507414
644.,1.9265531040372668,0.08199351517901683
645.,1.9235662,0.08069682766485138
646.,1.9205885433436534,0.07943154808443367
647.,1.9176200911901082,0.07819691966040399
648.,1.9146608009259258,0.07699220940829365
649.,1.9117106302003082,0.07581670722435645
650.,1.908769536923077,0.07466972501277548
651.,1.9058374792626729,0.07355059585034031
652.,1.9029144156441717,0.07245867318678303
653.,1.90000030474732,0.07139333007906655
654.,1.8970951055045873,0.07035395845800509
655.,1.8941987770992366,0.06933996842568153
656.,1.8913112789634148,0.06835078758221093
657.,1.8884325707762555,0.06738586038047062
658.,1.885562612462006,0.0664446475074925
659.,1.882701364188164,0.06552662529127948
660.,1.8798487863636364,0.0646345008659487
661.,1.877004839636914,0.0638213595691175
662.,1.8741694848942598,0.06302873799362062
663.,1.8713426832579185,0.06225600769511527
664.,1.8685243960843376,0.061502559748177275
665.,1.8657145849624062,0.060767804079271265
666.,1.8629132117117118,0.06005116882438338
667.,1.8601202383808098,0.059352099710375285
668.,1.857335627245509,0.05867005945914755
669.,1.854559340807175,0.05800452721373629
670.,1.8517913417910448,0.05735499798550199
671.,1.8490315931445604,0.05672098212159825
672.,1.8462800580357142,0.056102004791942536
673.,1.8435366998514116,0.055497605494939234
674.,1.8408014821958458,0.05490733758123056
675.,1.838074368888889,0.05433076779479
676.,1.835355323964497,0.053767475830683864
677.,1.8326443116691287,0.05321705390886699
678.,1.8299412964601771,0.05267910636339388
679.,1.8272462430044183,0.05215324924645619
680.,1.8245591161764707,0.051639109946677024
681.,1.8218798810572685,0.051136326821117364
682.,1.8192085029325513,0.05064454884046902
683.,1.8165449472913617,0.05016343524693216
684.,1.8138891798245613,0.049692655224291886
685.,1.8112411664233574,0.04923188757972893
686.,1.8086008731778425,0.048780820436919684
687.,1.805968266375546,0.0483391509399931
688.,1.8033433125000002,0.047906584967937996
689.,1.800725978229318,0.0474828368590579
690.,1.7981162304347826,0.047067629145099196
691.,1.79551403617945,0.046660692294683725
692.,1.792919362716763,0.046261764465696846
693.,1.7903321774891774,0.0458705912662931
694.,1.787752448126801,0.04548692552419575
695.,1.7851801424460432,0.04511052706398001
696.,1.782615228448276,0.044741162492039466
697.,1.7800576743185081,0.044378604988951305
698.,1.777507448424069,0.04402263410896178
699.,1.7749645193133048,0.04367303558632968
700.,1.7724288557142858,0.04332960114827011
701.,1.7699004265335236,0.04299212833425817
702.,1.767379200854701,0.042660420321453646
703.,1.7648651479374113,0.042334285756022993
704.,1.762358237215909,0.042013538590141765
705.,1.7598584382978726,0.041696674695928006
706.,1.757365720963173,0.04136298432074155
707.,1.754880055162659,0.04103448401957831
708.,1.7524014110169492,0.040711060324543254
709.,1.7499297588152327,0.040392602472267655
710.,1.7474650690140847,0.040079002330544414
711.,1.745007312236287,0.03977015432722158
712.,1.742556459269663,0.039465955381272184
713.,1.7401124810659188,0.039166304835969855
714.,1.7376753487394958,0.038871104394096696
715.,1.7352450335664336,0.03858025805511696
716.,1.7328215069832404,0.038293672054246955
717.,1.730404740585774,0.03801125480336161
718.,1.7279947061281336,0.037732916833672844
719.,1.7255913755215575,0.03745857074012288
720.,1.7231947208333334,0.03718813112743423
721.,1.7208047142857146,0.0369215145577623
722.,1.7184213282548477,0.036658639499897415
723.,1.7160445352697098,0.03639942627996465
724.,1.7136743080110497,0.03614379703357356
725.,1.7113106193103447,0.035891675659369994
726.,1.7089534421487602,0.03564298777394298
727.,1.7066027496561211,0.03539766066804518
728.,1.7042585151098903,0.03515562326408198
729.,1.7019207119341564,0.034916806074829665
730.,1.6995893136986302,0.034681141163342796
731.,1.697264294117647,0.03444856210401293
732.,1.6949456270491805,0.03421900394474054
733.,1.692633286493861,0.033992403170186966
734.,1.6903272465940054,0.03376869766607012
735.,1.688027481632653,0.03354782668447174
736.,1.6857339660326085,0.03332973081012415
737.,1.6834466743554952,0.033114351927645766
738.,1.6811655813008128,0.032901633189695446
739.,1.678890661705007,0.032691518986016875
740.,1.6766218905405408,0.032483954913346144
741.,1.6743592429149798,0.032278887746153534
742.,1.672102694070081,0.0320762654081968
743.,1.6698522193808885,0.03187603694485784
744.,1.6676077943548389,0.031678152496240515
745.,1.6653693946308725,0.03148256327100595
746.,1.6631369959785525,0.03128922152092204
747.,1.6609105742971888,0.03109808051610602
748.,1.6586901056149732,0.03090909452093914
749.,1.6564755660881174,0.030722218770632644
750.,1.654266932,0.03053740944842506
751.,1.6520641797603197,0.03035462366339305
752.,1.6498672859042554,0.030173819428855914
753.,1.6476762270916334,0.02999495564135705
754.,1.6454909801061008,0.02981799206020419
755.,1.6433115218543046,0.029642889287553396
756.,1.6411378293650793,0.029469608749017696
757.,1.6389698797886394,0.02929635359996857
758.,1.6368076503957785,0.029122927565923006
759.,1.6346511185770751,0.028951247797342344
760.,1.6325002618421052,0.02878128482853814
761.,1.6303550578186596,0.02861300974618873
762.,1.6282154842519685,0.028446394177699258
763.,1.626081519003932,0.028281410279837264
764.,1.6239531400523564,0.02811803072763515
765.,1.621830325490196,0.027956228703552997
766.,1.6197130535248043,0.02779597788689441
767.,1.6176013024771838,0.02763725244346941
768.,1.61549505078125,0.027480027015498492
769.,1.6133942769830951,0.027324276711749744
770.,1.6112989597402598,0.027169977097905335
771.,1.6092090778210117,0.027017104187150042
772.,1.607124610103627,0.02686563443097641
773.,1.6050455355756794,0.026715544710201454
774.,1.6029718333333334,0.026566812326188946
775.,1.6009034825806452,0.026419414992272617
776.,1.598840462628866,0.026273330825374325
777.,1.5967827528957528,0.0261285383378139
778.,1.5947303329048843,0.025985016429303565
779.,1.5926831822849805,0.025842744379124604
780.,1.590641280769231,0.025701701838479925
781.,1.5886046081946223,0.025561868823019175
782.,1.586573144501279,0.025423225705531526
783.,1.584546869731801,0.025285753208802584
784.,1.582525764030612,0.02514943239863045
785.,1.580509807643312,0.025014244676998122
786.,1.5784989809160306,0.024880171775396934
787.,1.5764932642947904,0.024747195748299207
788.,1.574492638324873,0.024615298966774203
789.,1.5724970836501901,0.024484464112246536
790.,1.5705065810126584,0.024354674170390216
791.,1.5685211112515807,0.024225912425158612
792.,1.5665406553030305,0.024098162452944088
793.,1.5645651941992433,0.023971408116866398
794.,1.5625947090680101,0.023845633561184392
795.,1.5606291811320754,0.023720823205830986
796.,1.5586685917085428,0.02359696174106503
797.,1.556712922208281,0.02347403412224062
798.,1.5547621541353382,0.02335202556468813
799.,1.552816269086358,0.02323092153870733
800.,1.55087524875,0.02311070776466568
801.,1.548939074906367,0.022991370208204378
802.,1.5470077294264337,0.022872895075545584
803.,1.5450811942714822,0.022755268808900015
804.,1.5431594514925373,0.022638478081972894
805.,1.541242483229814,0.022522509795564853
806.,1.5393302717121589,0.022407351073266864
807.,1.5374227992565057,0.02229298925724577
808.,1.5355200482673268,0.02217941190411845
809.,1.533622001236094,0.022066606780913985
810.,1.5317286407407409,0.02195456186111963
811.,1.5298399494451294,0.021843265320810212
812.,1.5279559100985223,0.021732705534858697
813.,1.5260765055350554,0.021622871073225216
814.,1.5242017186732189,0.021513750697323714
815.,1.5223315325153377,0.021405333356464648
816.,1.5204659301470589,0.021297608184370327
